작성시각(KST),댓글,좋아요,답글수,태도,관심사,집값전망,통장행동,comment_id
2026-09-14 00:00,엄청난 운빨 + 받춰주는 능력 + 타고난 부모운이 모두 만나야 살 수 있는게 아파트.,675,3,부정,"가점·당첨확률, 제도 불공정",,,UgzVjWVvhY6eSMys20l4AaABAg
2026-09-14 11:12,결국 진짜 80년도 후반이랑 90년대생들만 피해제일크지...,396,4,해당 없음,,,,UgypX56wGrybWoA6KCF4AaABAg
2026-09-14 14:53,깨지도 못하겠는게...나는 이거 깬다고 딱히 인생에 도움되는 돈도 아님 ㅠㅠ,222,4,부정,,,,Ugw3cim1ecQRe8ynz9l4AaABAg
2026-09-14 13:05,"얼마나 비싸냐?
로또 1등되도 못 삼...",62,0,부정,분양가·집값 부담,,,UgwwngLyf200mcjZT7R4AaABAg
2026-09-13 16:58,진즉에 해약했지.. 집 값이 청약가지고 될 게 아니더라고.... 당첨되도 그냥 해프닝인거지 모.. 풀대출 땡겨도 못 사 😂 아니 산다고 해도 유지가 안돼....,25,0,부정,"분양가·집값 부담, 대출규제·자금조달, 가점·당첨확률",하락,해지,Ugyz9EE-tXK0aci8LKh4AaABAg
2026-09-13 11:18,"당첨자였던 입장으로 말씀을 드리면
배보다 배꼽이 더큽니다
월급쟁이가 돈이 어디에 있겠냐만은 대출도 막혀있는 상태이고
당첨이 되서 집값만 내는것이 아닌 인테리어 가전제품 등등 
그런걸 고려한다면 의미없어요 솔직히 그냥 당첨이 되면 딱 이느낌입니다 "" 박탈감 "" 
당첨된 기분은 잠시고 정말 밀려오는건 돈은 어떻하지?? 아 좆같다는 생각밖에 안듬 ㅋㅋ
대대로 돈이 있는 집아닌이상 이제 불가능 해보였어요
만약에 내가 계약금 잔금 이런걸 전부 해결해도 그후 대출금 이자 갚아가는게 지옥이라 생각했습니다
그래서 결국 포기 하고 나왔습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이게 정말 큰꿈을 가지고 넣었는데 현실은 정말 절망적이였다고 생각해요",22,1,부정,"분양가·집값 부담, 대출규제·자금조달",,,UgzSUX0qYNruJ3al1q14AaABAg
2026-09-13 19:14,그냥 적금 붓는다 생각하고 적당할때 해지하는게 나음,21,2,부정,대체 투자·낮은 금리,,해지,Ugzl3cczWANpb6cOExB4AaABAg
2026-09-14 10:23,"비싼집은 돈 없어서 못 사고, 싼 집은 청약이 없어도 살 수 있고...",21,0,양가,분양가·집값 부담,,,UgzCy9tF23gFLPGCTl94AaABAg
2026-09-13 19:11,솔직히 소득공제 아니면.. 여기 부은 2천이 아깝긴해... 근데 공제때문에 안 깨는거야,14,2,양가,임대·대출우대 등 부가 기능,,,UgzCEu9fAshzbmOebMd4AaABAg
2026-09-14 11:33,애초에 분양가가 너무 높음. 문제는 주변 시세보다도 훨씬 높은 경우가 많으니까 분양가 주고 살 바에 미달 뜨면 할인 받고 사는데 훨 나음.,13,0,부정,분양가·집값 부담,,,Ugy1bBqCmoMpkd2hdxR4AaABAg
