comment_id,코더,다른 항목,댓글,태도(코더),관심사(코더),집값 전망(코더),통장 행동(코더),태도(gpt-oss-120b),관심사(gpt-oss-120b),집값 전망(gpt-oss-120b),통장 행동(gpt-oss-120b)
Ugw5t5l_o2q14XQt0fZ4AaABAg,claude,관심사,보통당첨대면 집담보로 대출받으면 어느정도땡겨짐 근데문제는 계약금임 최소1~2억이 현금으로있어야함ㅋㅋ 근데당첨될시기에 그정도현금 보유하기쉽지않은게현실,N,AB,0,0,N,ABC,0,0
Ugw5t5l_o2q14XQt0fZ4AaABAg,팀원1,관심사,보통당첨대면 집담보로 대출받으면 어느정도땡겨짐 근데문제는 계약금임 최소1~2억이 현금으로있어야함ㅋㅋ 근데당첨될시기에 그정도현금 보유하기쉽지않은게현실,N,AB,0,0,N,ABC,0,0
Ugw71NdlKYSqTPicEax4AaABAg,claude,태도,누가요새 청약을함??ㅋㅋㅋㅋ,N,,0,0,M,,0,0
Ugw71NdlKYSqTPicEax4AaABAg,팀원1,태도,누가요새 청약을함??ㅋㅋㅋㅋ,N,,0,0,M,,0,0
UgwBtTUg3Sey3L4zqyt4AaABAg,팀원1,관심사,청년세대 아닌 사람은 가지고 있을 이유가 없구나...낼 바로 해지해야겠다.,N,,0,H,N,D,0,H
UgwBuBgaF9bgAACI7Vh4AaABAg,claude,"태도, 관심사, 통장 행동",지금은 대출 받는 문제 때문에 힘들지만 나중에 정권 바뀌고 하면서 대출 규제가 풀리면??? 그때는 또 청약 왜 깼냐고 난리겠지.,P,BF,0,K,M,B,0,0
UgwBuBgaF9bgAACI7Vh4AaABAg,팀원1,"태도, 관심사, 통장 행동",지금은 대출 받는 문제 때문에 힘들지만 나중에 정권 바뀌고 하면서 대출 규제가 풀리면??? 그때는 또 청약 왜 깼냐고 난리겠지.,P,BF,0,K,M,B,0,0
UgwEbN4eEZUWfjW5HwN4AaABAg,claude,태도,청약통장 아직 갖고 있는 흑우 읍재?,N,,0,0,X,,0,0
UgwEbN4eEZUWfjW5HwN4AaABAg,팀원1,태도,청약통장 아직 갖고 있는 흑우 읍재?,N,,0,0,X,,0,0
UgwLEsA0xN3N9STD2nZ4AaABAg,claude,관심사,엄마가 나를 위해 만들어준 청약통장인데 과연 쓸모가 있을까?,M,,0,0,M,D,0,0
UgwLEsA0xN3N9STD2nZ4AaABAg,팀원1,관심사,엄마가 나를 위해 만들어준 청약통장인데 과연 쓸모가 있을까?,M,,0,0,M,D,0,0
UgwLGWGTIylNVQ9bfSV4AaABAg,claude,태도,"왜 느리게  준비하는과정을  다들 무시하게 만드는 방송, sns만 넘쳐나는지...",P,,0,0,X,,0,0
UgwPxLP9t-udA35_kgJ4AaABAg,claude,관심사,청약보다 그냥 줍줍이 더쌈 ㅋㅋㅋ,N,A,0,0,N,E,0,0
UgwPxLP9t-udA35_kgJ4AaABAg,팀원1,관심사,청약보다 그냥 줍줍이 더쌈 ㅋㅋㅋ,N,A,0,0,N,E,0,0
UgwVsyDMkfZM9DyP3rh4AaABAg,claude,관심사,돈이 없어.,X,A,0,0,X,,0,0
UgwVsyDMkfZM9DyP3rh4AaABAg,팀원1,"태도, 관심사",돈이 없어.,N,A,0,0,X,,0,0
UgwWmjMFaWPH1KcD5z54AaABAg,claude,관심사,1년만에 사회를 이렇게 십창내기도 쉽지 않을텐데 대단하다 대단해…,X,F,0,0,X,,0,0
UgwWmjMFaWPH1KcD5z54AaABAg,팀원1,관심사,1년만에 사회를 이렇게 십창내기도 쉽지 않을텐데 대단하다 대단해…,X,F,0,0,X,,0,0
UgwZCEX5Ng8pCY3fKW14AaABAg,claude,관심사,돈 있는 사람들의 번호표...,N,D,0,0,N,CD,0,0
UgwZCEX5Ng8pCY3fKW14AaABAg,팀원1,관심사,돈 있는 사람들의 번호표...,N,D,0,0,N,CD,0,0
Ugwaj-aCdkuCo_kXWZV4AaABAg,claude,"태도, 관심사","그니까 결혼을 해야 점수가 올라가서 집을 구매가능한 기회가 높아지는데
집이 있어야 결혼을 할수있다고?",N,D,0,0,M,C,0,0
Ugwaj-aCdkuCo_kXWZV4AaABAg,팀원1,"태도, 관심사","그니까 결혼을 해야 점수가 올라가서 집을 구매가능한 기회가 높아지는데
집이 있어야 결혼을 할수있다고?",N,D,0,0,M,C,0,0
UgwbVPh9scDxNCAr8Kx4AaABAg,claude,관심사,시골에서 생활하다 결혼하면서 서울에서 직장생활 시작했음. 고시원부터 출발..... 10년 살다보니 결론이남. 난 아파트는 절대 못들어간다 부동산으로 돈버는거 절대 못하고 그냥 내가 내집이라 부를수있는 빌라로 가는게 어쩔수없는 방법이라는 생각,X,A,0,0,X,AH,0,0
